产品名称(必填),产品类型(必填),产品类别(必填),设备名称(必填),设备地址(必填),设备功能类型(必填),标识符(必填),功能名称(必填),寄存器地址(必填),字节长度(必填),读写类型(必填),值范围（RW信号必填）,信号单位(必填),数据类型(必填),功能码(必填),数据格式(必填),比例系数（非必填）,告警级别（非必填）
productname,devType,category,devname,devaddr,devicetype,identifier,name,address,bytes,accessMode,min-max,unit,type,operatetype,originaltype,ratio,alarm_level
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101001,电池电压1#,1,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101002,电池电压2#,3,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101003,电池电压3#,5,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101004,电池电压4#,7,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101005,电池电压5#,9,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101006,电池电压6#,11,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101007,电池电压7#,13,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101008,电池电压8#,15,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101009,电池电压9#,17,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101010,电池电压10#,19,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101011,电池电压11#,21,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101012,电池电压12#,23,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101013,电池电压13#,25,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101014,电池电压14#,27,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101015,电池电压15#,29,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101016,电池电压16#,31,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101017,电池电压17#,33,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101018,电池电压18#,35,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101019,电池电压19#,37,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101020,电池电压20#,39,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101021,电池电压21#,41,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101022,电池电压22#,43,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101023,电池电压23#,45,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101024,电池电压24#,47,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101025,电池电压25#,49,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101026,电池电压26#,51,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
