产品名称(必填),产品类型(必填),产品类别(必填),点位功能类型(必填),点位名称(必填),标识符(必填),PLC数据起始地址(必填),PLC数据类型(必填),读写类型(必填),值范围（必填）,信号单位(必填),数据类型(必填),描述
productname,devType,category,devicetype,name,identifier,address,originaltype,accessMode,min-max,unit,type,specs
卸船机,s71500,dgiot,起升机构,起升位置,DB200.DBD0,DB200.DBD0,float,只读,-131070,M,float,null
卸船机,s71500,dgiot,起升机构,起升1电流,DB200.DBW4,DB200.DBW4,ushort,只读,-131070,A,float,null
卸船机,s71500,dgiot,起升机构,起升1转速,DB200.DBW6,DB200.DBW6,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,起升机构,起升2电流,DB200.DBW8,DB200.DBW8,ushort,只读,-131070,A,float,null
卸船机,s71500,dgiot,起升机构,起升2转速,DB200.DBW10,DB200.DBW10,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,起升机构,起升1温度,DB200.DBD12,DB200.DBD12,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,起升机构,起升2温度,DB200.DBD16,DB200.DBD16,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,起升机构,起升减速箱温度,DB200.DBD20,DB200.DBD20,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,起升机构,减速箱压力,DB200.DBD24,DB200.DBD24,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,起升机构,上升允许,DB200.DBX28.0,DB200.DBX28.0,bool,只读,-131070,null,enum,1:上升允许;0:无
卸船机,s71500,dgiot,起升机构,下降允许,DB200.DBX28.1,DB200.DBX28.1,bool,只读,-131070,null,enum,1:上升允许;0:无
卸船机,s71500,dgiot,开闭机构,开闭角度,DB200.DBD30,DB200.DBD30,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,开闭机构,开闭1电流,DB200.DBW34,DB200.DBW34,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,开闭机构,开闭1转速,DB200.DBW36,DB200.DBW36,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,开闭机构,开闭2电流,DB200.DBW38,DB200.DBW38,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,开闭机构,开闭2转速,DB200.DBW40,DB200.DBW40,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,开闭机构,开闭1温度,DB200.DBD42,DB200.DBD42,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,开闭机构,开闭2温度,DB200.DBD46,DB200.DBD46,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,开闭机构,开闭减速箱温度,DB200.DBD50,DB200.DBD50,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,开闭机构,减速箱压力,DB200.DBD54,DB200.DBD54,float,只读,-131070,null,float,null
